"Data","Open","Close","High","Low","log_return"
"2021-03-23",6.610991051,6.5054206285,6.7422407654,6.5054206285,-0.0310905870645412
"2021-03-24",6.6166975603,6.5111271378,6.7165614734,6.5111271378,0.000876808469964376
"2021-03-25",6.4768880819,6.6195508149,6.6480833615,6.3228123301,0.0165149342320987
"2021-03-26",6.6994419455,6.6937354361,6.8135721319,6.593871523,0.0111445645528461
"2021-03-29",6.6594963802,6.7993058586,6.7993058586,6.6423768522,0.0156484478884121
"2021-03-30",6.7450940201,6.7993058586,6.8449579332,6.7251212374,0
"2021-03-31",6.7907460946,6.8763437345,6.9134360451,6.7850395853,0.0112665493912982
"2021-04-01",6.9305555731,6.8164253866,6.9590881197,6.7850395853,-0.00875187915977377
"2021-04-05",6.8849034985,6.8592242065,6.9048762811,6.7565070387,0.00625914832575544
"2021-04-06",6.8991697718,6.8535176972,6.9533816103,6.8221318959,-0.000832293011782681
"2021-04-07",6.8306916599,6.8478111879,6.9448218464,6.8278384052,-0.000832986300499549
"2021-04-08",6.8421046785,6.762213548,6.8592242065,6.6680561442,-0.0125787822144389
"2021-04-09",6.7051484548,6.7479472747,6.7850395853,6.6680561442,-0.00211193320195539
"2021-04-12",6.8363981692,6.8164253866,6.9533816103,6.7850395853,0.0100968464029211
"2021-04-13",6.8421046785,6.8392514239,6.8791969891,6.7593602933,0.00334308710960931
"2021-04-14",6.9048762811,6.947675101,7.0132999582,6.8421046785,0.0157288010763309
"2021-04-15",6.9895569984,6.8096570082,7.0278963406,6.789012747,-0.0200653327814674
"2021-04-16",6.8214537288,6.7683684858,6.8538947107,6.7270799634,-0.00608168686668373
"2021-04-19",6.7683684858,7.1606094482,7.3405094384,6.7152832428,0.0563350296906216
"2021-04-20",7.175355349,7.0249471604,7.2520340334,7.0072520794,-0.0191274022735943
"2021-04-22",7.1193209258,6.9925061786,7.1340668266,6.9748110976,-0.00462866384282743
"2021-04-23",7.0426422414,6.9866078182,7.0603373225,6.9335225752,-0.000843881915747556
"2021-04-26",7.0337947009,7.0131504398,7.0927783043,6.9630143769,0.00379187310437685
"2021-04-27",7.0249471604,6.8126061883,7.1281684663,6.8126061883,-0.0290122737448013
"2021-04-28",6.9010815934,7.0603373225,7.104575025,6.8892848727,0.03571808261341
"2021-04-29",7.1134225655,6.9659635571,7.1635586283,6.9069799537,-0.0134568893634651
"2021-04-30",6.9010815934,6.9659635571,7.0573881423,6.8656914314,0
"2021-05-03",7.0190488001,6.9099291339,7.0219979803,6.8715897917,-0.00807655825033903
"2021-05-04",6.9423701157,6.7506734048,6.9718619174,6.7477242246,-0.0233171185584345
"2021-05-05",6.8332504495,7.0278963406,7.0632865026,6.8185045487,0.0402451571458646
"2021-05-06",6.9925061786,6.9305733951,7.0337947009,6.9010815934,-0.0139448699536773
"2021-05-07",6.9718619174,7.1901012498,7.210745511,6.9187766744,0.036762702889767
"2021-05-10",7.3139668169,7.2844750152,7.3670520599,7.2490848532,0.0130401195837116
"2021-05-11",7.2077963309,7.4171881228,7.4230864831,7.1724061688,0.01805465291662
"2021-05-12",7.3582045194,7.3080684566,7.5292569692,7.2815258351,-0.0148210203419987
"2021-05-13",7.3021700962,7.3700012401,7.402442222,7.2048471507,0.00843886864172502
"2021-05-14",7.6088848337,7.7504454818,7.7799372835,7.5351553295,0.0503324487713765
"2021-05-17",7.7563438421,7.8625143282,7.8625143282,7.7268520404,0.0143561211356435
"2021-05-18",7.8743110489,7.771089743,7.9038028505,7.7474963016,-0.0116960397616949
"2021-05-19",7.6236307346,7.7121061396,7.771089743,7.6088848337,-0.00761908448131107
"2021-05-20",7.7121061396,7.6472241759,7.7504454818,7.5852913924,-0.00844859096057394
"2021-05-21",7.6914618784,7.6531225362,7.7592930223,7.6501733561,0.000771010056592795
"2021-05-24",7.7504454818,7.7828864636,7.8212258058,7.6649192569,0.0168135409038401
"2021-05-25",7.8094290852,7.6206815544,7.8507176075,7.6029864734,-0.0210614715949044
